id,Problem_tag_1,Problem_tag_2,Problem_tag_3,Problem_tag_4,Solved,Problem Rating
1558C,constructive algorithms,greedy,,,x3494,2000
1558B,brute force,dp,math,number theory,x5025,1900
1558A,brute force,math,,,x11261,1300
1557E,brute force,constructive algorithms,interactive,,x738,2800
1557D,data structures,dp,greedy,,x2645,2200
1557C,bitmasks,combinatorics,dp,math,x9217,1700
1557B,greedy,sortings,,,x24001,1100
1557A,brute force,math,sortings,,x28491,800
1556H,graphs,greedy,math,probabilities,x395,3300
1556G,bitmasks,data structures,dsu,two pointers,x365,3300
1556F,bitmasks,combinatorics,dp,graphs,x1354,2500
1556E,data structures,dp,greedy,,x2810,2200
1556D,bitmasks,constructive algorithms,interactive,math,x7629,1800
1556C,brute force,implementation,,,x5935,1800
1556B,implementation,,,,x12965,1300
1556A,math,,,,x18258,800
1555F,data structures,dsu,graphs,trees,x925,2700
1555E,data structures,sortings,trees,two pointers,x4256,2100
1555D,brute force,constructive algorithms,dp,strings,x13633,1600
1555C,brute force,constructive algorithms,dp,implementation,x22887,1300
1555B,brute force,,,,x16630,1300
1555A,brute force,math,,,x29339,900
1554E,dfs and similar,dp,math,number theory,x1295,2600
1554D,constructive algorithms,greedy,strings,,x9964,1800
1554C,binary search,bitmasks,greedy,implementation,x9292,1800
1554B,bitmasks,brute force,greedy,math,x13257,1700
1554A,greedy,,,,x30363,800
1553I,combinatorics,divide and conquer,dp,fft,x266,3400
1553H,bitmasks,divide and conquer,trees,,x773,2900
1553G,brute force,constructive algorithms,dsu,graphs,x1127,2700
1553F,data structures,math,,,x2326,2300
1553E,brute force,combinatorics,constructive algorithms,dfs and similar,x3491,2100
1553D,dp,greedy,strings,two pointers,x14428,1500
1553C,bitmasks,brute force,dp,greedy,x18838,1200
1553B,brute force,dp,hashing,implementation,x14904,1300
1553A,math,number theory,,,x32598,800
1552I,dfs and similar,math,,,x139,3400
1552H,binary search,interactive,number theory,,x434,3300
1552G,bitmasks,brute force,dfs and similar,sortings,x596,3000
1552F,binary search,data structures,dp,sortings,x3044,2200
1552E,constructive algorithms,data structures,greedy,sortings,x1978,2300
1552D,bitmasks,brute force,constructive algorithms,dfs and similar,x7439,1800
1552C,combinatorics,constructive algorithms,geometry,greedy,x6079,1800
1552B,combinatorics,graphs,greedy,sortings,x16131,1500
1552A,sortings,strings,,,,800
1551F,brute force,combinatorics,dfs and similar,dp,x1979,2200
1551E,binary search,brute force,dp,,x4189,2000
1551D2,constructive algorithms,implementation,math,,x2868,2100
1551D1,constructive algorithms,math,,,x7334,1700
1551C,greedy,sortings,strings,,x13881,1500
1551B2,binary search,constructive algorithms,data structures,greedy,x16052,1400
1551B1,greedy,strings,,,x30395,800
1551A,greedy,math,,,x54862,800
1550F,binary search,data structures,divide and conquer,dp,x779,2700
1550E,binary search,bitmasks,brute force,dp,x1651,2500
1550D,binary search,combinatorics,constructive algorithms,implementation,x1916,2300
1550C,brute force,geometry,greedy,implementation,x10472,1700
1550B,greedy,math,,,x27487,1000
1550A,greedy,math,,,x28808,800
1549B,dfs and similar,dp,flows,graph matchings,x25473,800
1549A,math,number theory,,,x34094,800
1548E,data structures,divide and conquer,graphs,greedy,x546,3400
1548D2,brute force,geometry,math,number theory,x279,3300
1548D1,bitmasks,geometry,math,number theory,x1538,2300
1548C,combinatorics,dp,fft,math,x1921,2500
1548B,binary search,data structures,divide and conquer,math,x10598,1800
1548A,brute force,graphs,greedy,,x17001,1400
1547G,dfs and similar,dp,graphs,trees,x3271,2100
1547F,binary search,brute force,data structures,divide and conquer,x6361,1900
1547E,data structures,dp,implementation,shortest paths,x15413,1500
1547D,bitmasks,constructive algorithms,greedy,,x17657,1300
1547C,greedy,two pointers,,,x23513,1100
1547B,greedy,implementation,strings,,x27142,800
1547A,implementation,math,,,x31362,800
1546B,interactive,math,,,x13505,1200
1546A,brute force,greedy,,,x18405,800
1545F,brute force,data structures,dp,,x119,3500
1.55E+05,data structures,dp,,,x91,3500
1.55E+04,data structures,dp,,,x93,3500
1545D,constructive algorithms,interactive,math,,x576,3000
1545C,2-sat,brute force,combinatorics,constructive algorithms,x663,2800
1545B,combinatorics,math,,,x6277,1900
1545A,sortings,,,,x14408,1500
1543E,bitmasks,constructive algorithms,divide and conquer,graphs,x427,2700
1543D2,brute force,constructive algorithms,interactive,math,x2069,2200
1543D1,bitmasks,constructive algorithms,interactive,math,x7806,1700
1543C,bitmasks,brute force,dfs and similar,implementation,x5460,1900
1543B,combinatorics,greedy,math,,x23869,900
1543A,greedy,math,number theory,,x33001,900
1.54E+05,combinatorics,dp,fft,math,x928,2700
1.54E+04,combinatorics,dp,fft,math,x1328,2400
1542D,combinatorics,dp,implementation,math,x2734,2200
1542C,math,number theory,,,x15047,1600
1542B,constructive algorithms,math,number theory,,x24766,1500
1542A,math,,,,x48123,800
1541B,brute force,implementation,math,number theory,x32191,1200
1541A,constructive algorithms,greedy,implementation,,x30148,800
1540E,math,matrices,,,x120,3500
1540D,binary search,brute force,data structures,,x308,3200
1540C2,dp,math,,,x501,2900
1540C1,dp,math,,,x670,2700
1540B,brute force,combinatorics,dp,graphs,x2773,2300
1540A,constructive algorithms,graphs,greedy,shortest paths,x14381,1400
1539F,data structures,greedy,sortings,,x931,2600
1539E,binary search,constructive algorithms,data structures,dp,x1008,2500
1539D,binary search,greedy,implementation,sortings,x12110,1600
1539C,greedy,sortings,,,x26108,1200
1539B,dp,implementation,strings,,x25556,800
1539A,combinatorics,geometry,greedy,math,x20787,1000
1538G,binary search,greedy,math,ternary search,x4833,2100
1538F,binary search,dp,math,number theory,x20626,1500
1538E,data structures,hashing,implementation,matrices,x3063,2100
1538D,constructive algorithms,math,number theory,,x14371,1700
1538C,binary search,data structures,math,two pointers,x31317,1300
1538B,greedy,math,,,x32491,800
1538A,brute force,dp,greedy,,x38662,800
1537F,constructive algorithms,dfs and similar,dsu,graphs,x2607,2200
1.54E+05,binary search,data structures,greedy,hashing,x5553,2200
1.54E+04,binary search,brute force,dp,greedy,x14335,1600
1537D,games,math,number theory,,x13034,1700
1537C,constructive algorithms,greedy,implementation,math,x29018,1200
1537B,constructive algorithms,greedy,math,,x34640,900
1537A,greedy,math,,,x39094,800
1536F,chinese remainder theorem,combinatorics,constructive algorithms,fft,x1006,2600
1536E,combinatorics,graphs,math,shortest paths,x2545,2300
1536D,data structures,greedy,implementation,,x4885,2000
1536C,data structures,dp,hashing,number theory,x15093,1500
1536B,brute force,constructive algorithms,strings,,x21036,1200
1536A,brute force,constructive algorithms,,,x20455,800
1535F,binary search,brute force,data structures,hashing,x483,3000
1535E,binary search,data structures,dp,greedy,x2902,2200
1535D,data structures,dfs and similar,dp,implementation,x8115,1800
1535C,binary search,dp,greedy,implementation,x17156,1400
1535B,brute force,greedy,math,number theory,x32305,900
1535A,brute force,implementation,,,x53350,800
1534H,constructive algorithms,dp,graphs,interactive,x241,3500
1534G,data structures,dp,geometry,sortings,x703,3300
1534F2,dfs and similar,dp,graphs,greedy,x642,3000
1534F1,dfs and similar,graphs,greedy,,x1307,2500
1534E,graphs,greedy,interactive,shortest paths,x2013,2300
1534D,constructive algorithms,interactive,trees,,x6339,1800
1534C,combinatorics,dp,dsu,graphs,x13237,1300
1534B,greedy,implementation,math,,x12690,1100
1534A,brute force,implementation,,,x12915,800
1533J,*special problem,,,,,
1533I,*special problem,constructive algorithms,dfs and similar,flows,x55,
1533H,*special problem,bitmasks,data structures,dp,x87,
1533G,*special problem,constructive algorithms,dfs and similar,graphs,x93,
1533F,*special problem,binary search,greedy,,x219,
1533E,*special problem,binary search,data structures,greedy,x280,
1533D,*special problem,hashing,,,x501,
1533C,*special problem,data structures,implementation,,x477,
1533B,*special problem,implementation,,,x776,
1533A,*special problem,implementation,math,,x1084,
1532F,*special problem,strings,,,x219,
1532E,*special problem,,,,x391,
1532D,*special problem,sortings,,,x588,
1532C,*special problem,implementation,,,x640,
1532B,*special problem,math,,,x826,
1532A,*special problem,,,,x1145,
1.53E+06,*special problem,binary search,,,x271,
1.53E+05,*special problem,*special problem,brute force,,x339,
1.53E+04,*special problem,,,,x359,
1531D,*special problem,*special problem,,,x356,
1531C,*special problem,constructive algorithms,dp,,x652,
1531B2,*special problem,,,,x774,
1531B1,*special problem,*special problem,,,x1116,
1531A,*special problem,implementation,,,x1457,
1530H,data structures,dp,,,x181,3400
1530G,constructive algorithms,,,,x180,3300
1530F,bitmasks,combinatorics,dp,math,x911,2600
1530E,constructive algorithms,greedy,strings,,x3079,2100
1530D,constructive algorithms,flows,graphs,greedy,x9682,1600
1530C,binary search,brute force,greedy,sortings,x15101,1200
1530B,constructive algorithms,implementation,,,x16108,800
1530A,greedy,math,,,x21487,800
1529B,greedy,math,sortings,,x20891,1100
1529A,constructive algorithms,greedy,math,,x30314,800
1528F,combinatorics,fft,math,,x307,3300
1528E,combinatorics,dp,trees,,x559,2900
1528D,constructive algorithms,graphs,shortest paths,,x1563,2500
1528C,data structures,dfs and similar,greedy,trees,x2768,2300
1528B,combinatorics,dp,math,,x9331,1700
1528A,dfs and similar,divide and conquer,dp,greedy,x16435,1600
1527E,binary search,data structures,divide and conquer,dp,x2595,2500
1527D,combinatorics,dfs and similar,implementation,math,x2025,2400
1527C,hashing,implementation,math,,x14288,1600
1527B2,constructive algorithms,games,,,x8301,1900
1527B1,constructive algorithms,games,,,x29261,1200
1527A,bitmasks,,,,x38459,800
1526F,constructive algorithms,interactive,probabilities,,x319,3000
1526E,combinatorics,constructive algorithms,math,,x1301,2400
1526D,brute force,constructive algorithms,data structures,math,x2562,2200
1526C2,data structures,greedy,,,x25741,1600
1526C1,brute force,data structures,dp,greedy,x24795,1500
1526B,dp,math,number theory,,x33531,1400
1526A,constructive algorithms,sortings,,,x24593,800
1525F,brute force,dp,flows,graph matchings,x358,2800
1525E,combinatorics,dp,math,probabilities,x2206,2100
1525D,dp,flows,graph matchings,greedy,x10279,1800
1525C,data structures,greedy,implementation,sortings,x4649,2000
1525B,constructive algorithms,greedy,,,x25648,900
1525A,math,number theory,,,x26248,800
1523H,data structures,dp,,,x398,3500
1523G,data structures,divide and conquer,,,x485,3200
1523F,bitmasks,dp,,,x454,3300
1523E,combinatorics,dp,math,probabilities,x1801,2600
1523D,bitmasks,brute force,dp,probabilities,x2319,2400
1523C,brute force,data structures,greedy,implementation,x9006,1600
1523B,constructive algorithms,,,,x12252,1100
1523A,implementation,,,,x13636,800
1521E,binary search,constructive algorithms,dp,greedy,x702,2700
1521D,constructive algorithms,data structures,dfs and similar,dp,x2107,2500
1521C,constructive algorithms,interactive,,,x4507,2000
1521B,constructive algorithms,math,number theory,,x22151,1300
1521A,constructive algorithms,math,number theory,,x39780,1000
1520G,brute force,dfs and similar,graphs,greedy,x3961,2200
1520F2,binary search,constructive algorithms,data structures,interactive,x3162,2200
1520F1,binary search,interactive,,,x13055,1600
1520E,greedy,math,,,x24285,1400
1520D,data structures,hashing,math,,x54378,1200
1520C,constructive algorithms,,,,x33244,1000
1520B,brute force,math,number theory,,x46990,800
1520A,brute force,implementation,,,x55253,800
1519F,bitmasks,brute force,dfs and similar,dp,x548,3200
1519E,constructive algorithms,dfs and similar,geometry,graphs,x853,2700
1519D,brute force,dp,implementation,math,x16188,1600
1519C,brute force,data structures,greedy,number theory,x18980,1400
1519B,dp,math,,,x32140,800
1519A,math,,,,x29713,800
1517H,dp,geometry,,,x80,3500
1517G,constructive algorithms,flows,graphs,,x546,3300
1517F,combinatorics,dp,trees,,x523,3200
1517E,binary search,data structures,implementation,two pointers,x1005,2500
1517D,dp,graphs,shortest paths,,x8344,1800
1517C,constructive algorithms,dfs and similar,greedy,implementation,x13758,1400
1517B,constructive algorithms,greedy,sortings,,x13483,1200
1517A,greedy,math,,,x26210,800
1516E,combinatorics,dp,math,,x925,2500
1516D,binary search,data structures,dp,graphs,x4725,2100
1516C,bitmasks,constructive algorithms,dp,math,x12761,1700
1516B,bitmasks,brute force,dp,greedy,x21798,1500
1516A,greedy,,,,x24151,800
1515I,binary search,data structures,sortings,,x356,3400
1515H,bitmasks,brute force,data structures,sortings,,3500
1515G,dfs and similar,graphs,math,number theory,x1142,2700
1515F,constructive algorithms,dfs and similar,dsu,graphs,x1930,2600
1515E,combinatorics,dp,math,,x3898,2200
1515D,greedy,sortings,two pointers,,x12064,1500
1515C,constructive algorithms,data structures,greedy,,x17931,1400
1515B,brute force,geometry,math,number theory,x25926,1000
1515A,constructive algorithms,greedy,math,,x20618,800
1514E,binary search,graphs,interactive,sortings,x662,2700
1514D,binary search,data structures,greedy,implementation,x4545,2000
1514C,greedy,number theory,,,x16554,1600
1514B,bitmasks,combinatorics,math,,x28941,1200
1514A,math,number theory,,,x24773,800
1513F,brute force,constructive algorithms,data structures,sortings,x1340,2500
1513E,combinatorics,constructive algorithms,math,sortings,x1574,2300
1513D,constructive algorithms,dsu,graphs,greedy,x5906,2000
1513C,dp,matrices,,,x15326,1600
1513B,bitmasks,combinatorics,constructive algorithms,math,x16790,1400
1513A,constructive algorithms,implementation,,,x19730,800
1512G,brute force,dp,math,number theory,x8730,1700
1512F,brute force,dp,greedy,implementation,x6509,1900
1512E,brute force,greedy,math,,x10925,1600
1512D,constructive algorithms,data structures,greedy,,x23523,1200
1512C,constructive algorithms,implementation,strings,,x20924,1200
1512B,implementation,,,,x25927,800
1512A,brute force,implementation,,,x71075,800
1511G,bitmasks,brute force,data structures,dp,x876,2700
1511F,brute force,data structures,dp,matrices,x488,2700
1511E,combinatorics,dp,greedy,math,x2730,2100
1511D,brute force,constructive algorithms,graphs,greedy,x11958,1600
1511C,brute force,data structures,implementation,trees,x27212,1100
1511B,constructive algorithms,math,number theory,,x23783,1100
1511A,greedy,,,,x28170,800
1510K,brute force,graphs,implementation,,x5717,1200
1510J,constructive algorithms,math,,,x539,2700
1510I,greedy,interactive,math,probabilities,x540,2700
1510H,dp,,,,x131,3200
1510G,,,,,x1332,2100
1510F,,,,,x62,2800
1510E,,,,,x264,2700
1510D,dp,math,number theory,,x2014,2100
1510C,dfs and similar,graph matchings,graphs,,x226,2900
1510B,flows,graph matchings,graphs,,x906,2600
1510A,,,,,x161,3100
1509C,dp,greedy,,,x13794,1800
1509B,greedy,,,,x22324,1100
1509A,constructive algorithms,,,,x26494,800
1508F,brute force,data structures,,,x137,3500
1508E,brute force,constructive algorithms,data structures,dfs and similar,x368,3100
1508D,constructive algorithms,geometry,sortings,,x624,3000
1508C,bitmasks,brute force,data structures,dfs and similar,x1593,2500
1508B,binary search,combinatorics,constructive algorithms,implementation,x4199,1800
1508A,constructive algorithms,greedy,implementation,strings,x6456,1900
1506G,brute force,data structures,dp,greedy,x4555,2000
1506F,constructive algorithms,graphs,math,shortest paths,x3489,2000
1506E,constructive algorithms,implementation,,,x13688,1500
1506D,constructive algorithms,data structures,greedy,,x23665,1400
1506C,brute force,implementation,strings,,x29039,1000
1506B,greedy,implementation,,,x20566,1100
1506A,math,,,,x31391,800
1505I,*special problem,,,,x583,2200
1505H,*special problem,,,,x532,2500
1505G,*special problem,implementation,,,x320,2600
1505F,*special problem,math,,,x1547,2200
1505E,*special problem,greedy,implementation,shortest paths,x1839,1800
1505D,*special problem,number theory,,,x834,1800
1505C,*special problem,implementation,,,x6576,1400
1505B,*special problem,implementation,number theory,,x6341,1600
1505A,*special problem,implementation,interactive,,x15219,900
1504B,constructive algorithms,greedy,implementation,math,x21238,1200
1504A,constructive algorithms,strings,,,x22234,800
1503F,constructive algorithms,data structures,divide and conquer,geometry,x201,3500
1503E,combinatorics,dp,math,,x759,3100
1503D,2-sat,constructive algorithms,data structures,greedy,x1196,2600
1503C,binary search,data structures,dp,greedy,x3586,2200
1503B,constructive algorithms,games,interactive,,x7321,1700
1503A,constructive algorithms,greedy,,,x13950,1600
1501B,dp,implementation,sortings,,x20230,900
1501A,implementation,,,,x11738,800
1500F,dp,,,,x374,3500
1500E,binary search,data structures,,,x298,3300
1500D,data structures,sortings,two pointers,,x560,2900
1500C,bitmasks,brute force,constructive algorithms,greedy,x868,2600
1500B,binary search,brute force,chinese remainder theorem,math,x2156,2200
1500A,brute force,hashing,implementation,math,x9140,1800
1499G,data structures,graphs,interactive,,x217,3100
1499F,combinatorics,dfs and similar,dp,trees,x1451,2400
1499E,combinatorics,dp,math,strings,x1586,2400
1499D,dp,math,number theory,,x6341,2100
1499C,brute force,data structures,greedy,math,x13029,1500
1499B,brute force,dp,greedy,implementation,x21338,1000
1499A,combinatorics,constructive algorithms,math,,x21553,800
1498F,bitmasks,data structures,dfs and similar,dp,x993,2500
1498E,brute force,graphs,greedy,interactive,x2008,2200
1498D,dfs and similar,dp,graphs,implementation,x2416,2200
1498C,brute force,data structures,dp,,x10691,1600
1498B,binary search,bitmasks,data structures,greedy,x19628,1300
1498A,brute force,math,,,x23963,800
1.50E+05,data structures,dp,greedy,math,x1828,2500
1.50E+04,data structures,dp,greedy,math,x8739,1700
1497D,bitmasks,dp,graphs,number theory,,2500
1497C2,constructive algorithms,math,,,x18342,1600
1497C1,constructive algorithms,math,,,x27483,1200
1497B,constructive algorithms,greedy,math,,x22673,1200
1497A,brute force,data structures,greedy,sortings,x25170,800
1496B,math,,,,x17889,1100
1496A,brute force,constructive algorithms,greedy,strings,x21635,900
1495F,constructive algorithms,data structures,dp,graphs,x387,3300
1495E,brute force,data structures,greedy,implementation,x527,3200
1495D,combinatorics,dfs and similar,graphs,math,x1401,2600
1495C,constructive algorithms,graphs,,,x2808,2300
1495B,games,greedy,,,x6171,1900
1495A,geometry,greedy,math,sortings,x17458,1200
1494F,brute force,constructive algorithms,dfs and similar,graphs,x456,2900
1494E,constructive algorithms,data structures,graphs,hashing,x1919,2400
1494D,constructive algorithms,data structures,dfs and similar,divide and conquer,x2672,2300
1494C,binary search,dp,greedy,implementation,x5571,1900
1494B,bitmasks,brute force,greedy,implementation,x14863,1400
1494A,bitmasks,brute force,implementation,,x21834,900
1493F,bitmasks,interactive,number theory,,x476,2600
1493E,bitmasks,constructive algorithms,greedy,math,x989,2600
1493D,brute force,data structures,hashing,implementation,x5332,2100
1493C,binary search,brute force,constructive algorithms,greedy,x4763,2000
1493B,brute force,implementation,,,x12127,1300
1493A,constructive algorithms,greedy,,,x19565,800
1492E,brute force,constructive algorithms,dfs and similar,greedy,x1258,2500
1492D,bitmasks,constructive algorithms,greedy,math,x6301,1900
1492C,binary search,data structures,dp,greedy,x16932,1500
1492B,data structures,greedy,math,,x19258,1100
1492A,math,,,,x23080,800
1491I,brute force,data structures,,,x99,3500
1491H,data structures,trees,,,x999,3400
1491G,constructive algorithms,graphs,math,,x914,2800
1491F,binary search,constructive algorithms,interactive,,x1057,2700
1491E,brute force,dfs and similar,divide and conquer,number theory,x2243,2400
1491D,bitmasks,constructive algorithms,dp,greedy,x7623,1800
1491C,brute force,data structures,dp,greedy,x8174,1700
1491B,brute force,math,,,x14032,1200
1491A,brute force,greedy,implementation,,x18712,800
1490G,binary search,data structures,math,,x5911,1900
1490F,binary search,data structures,greedy,math,x17396,1500
1490E,binary search,data structures,greedy,,x20074,1400
1490D,dfs and similar,divide and conquer,implementation,,x20506,1200
1490C,binary search,brute force,brute force,math,x35907,1100
1490B,brute force,constructive algorithms,math,,x26962,1000
1490A,greedy,math,,,x32063,800
1488J,*special problem,data structures,fft,math,x39,3100
1488I,*special problem,flows,,,x41,3100
1488H,*special problem,combinatorics,data structures,,x62,2800
1488G,*special problem,data structures,greedy,number theory,x129,2500
1488F,*special problem,*special problem,binary search,data structures,x182,2300
1488E,*special problem,data structures,dp,,x220,2200
1488D,*special problem,binary search,greedy,,x347,1900
1488C,*special problem,binary search,brute force,math,x436,1900
1488B,*special problem,greedy,,,x584,1800
1488A,*special problem,math,,,x1668,900
1487G,combinatorics,dp,fft,math,x630,2700
1487F,dp,greedy,shortest paths,,x430,2900
1487E,brute force,data structures,graphs,greedy,x4826,2000
1487D,binary search,brute force,math,number theory,x19355,1500
1487C,brute force,constructive algorithms,dfs and similar,graphs,x14819,1500
1487B,math,number theory,,,x23870,1200
1487A,implementation,sortings,,,x27027,800
1486F,combinatorics,data structures,dfs and similar,dp,x731,2600
1486E,binary search,brute force,constructive algorithms,dp,x3114,2200
1486D,binary search,data structures,dp,,x8395,2100
1486C2,binary search,interactive,,,x9187,1900
1486C1,binary search,interactive,,,x13239,1600
1486B,binary search,geometry,shortest paths,sortings,x17695,1500
1486A,greedy,implementation,,,x26146,900
1485F,combinatorics,data structures,dp,sortings,x2113,2400
1485E,dfs and similar,dp,greedy,trees,x1430,2500
1485D,constructive algorithms,graphs,math,number theory,x5389,2200
1485C,binary search,brute force,math,number theory,x10448,1700
1485B,dp,implementation,math,,x17470,1200
1485A,brute force,greedy,math,number theory,x26263,1000
1482H,data structures,string suffix structures,trees,,x518,3400
1482G,binary search,interactive,,,x326,3200
1482F,graphs,shortest paths,,,x1646,2400
1482E,data structures,divide and conquer,dp,,x3474,2100
1482D,data structures,dsu,implementation,shortest paths,x3989,1900
1482C,brute force,constructive algorithms,greedy,implementation,x9739,1600
1482B,implementation,math,,,x9408,1500
1482A,math,,,,x20863,800
1481F,dp,greedy,trees,,x650,3100
1481E,data structures,dp,greedy,,x2253,2500
1481D,brute force,constructive algorithms,graphs,greedy,x4709,2000
1481C,brute force,constructive algorithms,greedy,,x12050,1600
1481B,brute force,greedy,implementation,,x19525,1100
1481A,greedy,strings,,,x25347,800
1480B,greedy,implementation,sortings,,x17551,900
1480A,games,greedy,strings,,x26469,800
1479E,dp,fft,math,number theory,x246,3500
1479D,binary search,bitmasks,brute force,data structures,x1132,2900
1479C,bitmasks,constructive algorithms,,,x1380,2500
1479B2,constructive algorithms,data structures,dp,greedy,x4217,2100
1479B1,constructive algorithms,data structures,dp,greedy,x7189,1900
1479A,binary search,interactive,ternary search,,x12406,1700
1478C,implementation,math,sortings,,x10207,1700
1478B,brute force,dp,greedy,math,x18614,1100
1478A,brute force,greedy,,,,800
1477F,combinatorics,fft,math,probabilities,x152,3500
1477E,data structures,greedy,,,x160,3300
1477D,constructive algorithms,dfs and similar,graphs,,x654,2800
1477C,constructive algorithms,geometry,greedy,math,x2483,2200
1477B,data structures,greedy,,,x3410,1900
1477A,constructive algorithms,math,number theory,,x6197,1800
1476G,data structures,hashing,sortings,two pointers,x636,3100
1476F,binary search,data structures,dp,,x938,3000
1476E,bitmasks,data structures,dfs and similar,graphs,x2493,2300
1476D,dfs and similar,dp,dsu,implementation,x8950,1700
1476C,dp,graphs,greedy,,x11883,1600
1476B,binary search,brute force,greedy,math,x20709,1300
1476A,binary search,constructive algorithms,greedy,math,x41367,1000
1475G,dp,math,number theory,sortings,x7320,1900
1475F,2-sat,brute force,constructive algorithms,,x5614,1900
1475E,combinatorics,math,sortings,,x15342,1600
1475D,binary search,dp,sortings,two pointers,x10643,1800
1475C,combinatorics,graphs,math,,x23583,1400
1475B,brute force,dp,math,,x52821,900
1475A,math,number theory,,,x71645,900
1474F,dp,math,matrices,,x278,3000
1474E,constructive algorithms,greedy,,,x1394,2500
1474D,data structures,dp,greedy,math,x4137,2200
1474C,brute force,constructive algorithms,data structures,greedy,x13351,1700
1474B,binary search,constructive algorithms,greedy,math,x33312,1000
1474A,greedy,,,,x22966,800
1473G,combinatorics,dp,fft,math,x433,2800
1473F,flows,math,,,x1054,2700
1473E,graphs,shortest paths,,,x4027,2400
1473D,data structures,dp,implementation,strings,x10246,1700
1473C,constructive algorithms,math,,,x13026,1500
1473B,brute force,math,number theory,strings,x33233,1000
1473A,greedy,implementation,math,sortings,x35362,800
1472G,dfs and similar,dp,graphs,shortest paths,x5128,2100
1472F,brute force,dp,graph matchings,greedy,x3173,2100
1472E,binary search,data structures,dp,sortings,x8449,1700
1472D,dp,games,greedy,sortings,x28878,1200
1472C,dp,graphs,,,x33289,1100
1472B,dp,greedy,math,,x55217,800
1472A,greedy,math,,,x43730,800
1471B,brute force,greedy,implementation,math,x19627,1100
1471A,greedy,math,number theory,,x30614,900
1470F,divide and conquer,,,,x146,3500
1470E,binary search,combinatorics,data structures,dp,x327,3200
1470D,constructive algorithms,dfs and similar,graph matchings,graphs,x3895,2200
1470C,binary search,brute force,constructive algorithms,interactive,x1386,2500
1470B,bitmasks,graphs,hashing,math,x6513,1900
1470A,binary search,dp,greedy,sortings,x25049,1300
1469F,binary search,data structures,greedy,,x1023,2600
1469E,bitmasks,brute force,hashing,string suffix structures,x2059,2400
1469D,brute force,constructive algorithms,math,number theory,x9730,1700
1469C,dp,greedy,implementation,two pointers,x11094,1600
1469B,dp,greedy,,,x29184,1000
1469A,constructive algorithms,greedy,,,x28669,1000
1468N,greedy,implementation,,,x8642,900
1468M,data structures,graphs,implementation,,x1013,2300
1468L,binary search,greedy,math,number theory,x341,2700
1468K,brute force,implementation,,,x5337,1600
1468J,dsu,graphs,greedy,,x4889,1800
1468I,geometry,implementation,math,,x524,2500
1468H,constructive algorithms,greedy,math,,x1873,2200
1468G,binary search,geometry,,,x842,2500
1468F,geometry,hashing,number theory,,x3989,1700
1468E,greedy,,,,x9439,800
1468D,binary search,sortings,,,x4980,1700
1468C,data structures,implementation,,,x9080,1400
1468B,data structures,dsu,,,x232,2900
1468A,data structures,dp,greedy,,x1785,2200
1467E,data structures,dfs and similar,dp,trees,x1516,2500
1467D,combinatorics,dp,math,,x3804,2200
1467C,constructive algorithms,greedy,,,x6575,1900
1467B,brute force,implementation,,,x11267,1700
1467A,constructive algorithms,greedy,math,,x24882,900
1466I,binary search,data structures,data structures,interactive,x220,3400
1466H,combinatorics,dp,graphs,greedy,x410,3300
1466G,combinatorics,divide and conquer,hashing,math,x960,2600
1466F,bitmasks,dfs and similar,dsu,graphs,x2933,2100
1466E,bitmasks,brute force,math,,x7731,1800
1466D,data structures,greedy,sortings,trees,x12610,1500
1466C,dp,greedy,strings,,x18261,1300
1466B,dp,greedy,,,x23082,800
1466A,brute force,geometry,math,,x22888,800
1464F,data structures,trees,,,x380,3500
1463F,bitmasks,dp,math,,x661,3100
1463E,constructive algorithms,dfs and similar,dsu,graphs,x1608,2400
1463D,binary search,constructive algorithms,greedy,two pointers,x4625,1900
1463C,implementation,,,,x5812,1800
1463B,bitmasks,constructive algorithms,greedy,,x20259,1400
1463A,binary search,math,,,x26736,1100
1462F,binary search,data structures,greedy,,x7462,1800
1.46E+05,binary search,combinatorics,implementation,math,x10436,1700
1.46E+04,binary search,combinatorics,math,sortings,x14472,1500
1462D,greedy,math,number theory,,x17397,1400
1462C,brute force,greedy,math,,x34349,900
1462B,dp,implementation,strings,,x28110,800
1462A,implementation,two pointers,,,x44952,800
1461F,constructive algorithms,dp,greedy,,x585,2700
1461E,brute force,graphs,greedy,implementation,x2164,2200
1461D,binary search,brute force,data structures,divide and conquer,x9681,1600
1461C,dp,math,probabilities,,,1500
1461B,brute force,dp,implementation,,x12919,1400
1461A,constructive algorithms,greedy,,,x18740,800
1459B,dp,math,,,x17111,1300
1459A,math,probabilities,,,x17284,800
1458F,data structures,trees,,,x366,3500
1458E,data structures,games,,,x526,3100
1458D,data structures,graphs,greedy,,x1319,3100
1458C,math,matrices,,,x1446,2700
1458B,dp,,,,x3689,2000
1458A,math,number theory,,,x21411,1600
1456E,dp,greedy,,,x336,3500
1455G,data structures,dp,,,x443,2900
1455F,dp,greedy,,,x472,2800
1455E,brute force,constructive algorithms,flows,geometry,x1588,2400
1455D,dp,greedy,sortings,,x12744,1600
1455C,constructive algorithms,games,math,,x20002,1100
1455B,constructive algorithms,math,,,x22549,1200
1455A,math,number theory,,,x26924,800
1454F,binary search,data structures,greedy,two pointers,x4313,2100
1454E,combinatorics,dfs and similar,graphs,trees,x6201,2000
1454D,constructive algorithms,math,number theory,,x21226,1300
1454C,greedy,implementation,,,x21963,1200
